"W1","W2","W3","W4","A","Y"
1,1,0.788737473776564,0.482030690182,1,0
1,0,0.975800279527903,2.16669680201449,0,0
0,0,0.950994881568477,4.10516240750439,0,0
1,1,0.603742298670113,0.290653584524989,0,0
1,0,0.0303079844452441,3.38623403105885,0,1
0,1,0.796583170071244,4.11709591047838,0,1
0,1,0.645690495846793,2.24387571914122,0,0
1,1,0.349211352411658,4.62740659248084,0,1
0,1,0.3000822593458,3.02635827800259,0,0
0,0,0.0644710818305612,0.902338059386238,0,0
1,1,0.756955727469176,2.3211602633819,0,1
1,0,0.527400136692449,4.5490959752351,0,0
0,1,0.940095249097794,3.15445348038338,0,0
0,0,0.53550633485429,4.60966132814065,0,1
1,0,0.139312741579488,2.98791592707857,0,1
1,1,0.439931607572362,4.90570125868544,0,1
0,1,0.84377767238766,1.9297615007963,1,1
1,1,0.667663051048294,3.78031745087355,0,1
1,0,0.289681194350123,2.50175473513082,0,1
0,1,0.253584860591218,1.43881903844886,0,0
0,0,0.99122030264698,1.47688489523716,0,0
0,1,0.971965906908736,1.49476245744154,0,0
1,0,0.349320125766098,2.46591421659105,1,0
1,1,0.486664483556524,1.47759428829886,1,1
1,1,0.695326176704839,0.625010487856343,1,1
0,1,0.0892072743736207,2.59156739688478,1,0
1,0,0.0841024660039693,1.85734644648619,1,1
1,1,0.916812861571088,1.44487289129756,1,1
1,0,0.95606597722508,3.31924412865192,0,0
0,0,0.966695860493928,1.8687908386346,0,0
1,0,0.734299604780972,2.37499207141809,0,0
1,1,0.895443039946258,0.832573756342754,1,1
0,0,0.140319394879043,2.66116251819767,0,0
0,0,0.0334858722053468,2.40147191332653,1,0
1,0,0.935334568377584,3.77858445863239,0,0
0,0,0.166967887897044,4.78573188651353,0,1
1,1,0.712350107263774,2.58522535557859,0,1
0,1,0.729136748705059,1.28560398123227,1,0
0,0,0.31179133686237,3.74953601276502,0,0
1,1,0.153572231065482,1.14259622525424,1,1
0,0,0.651943567441776,4.83697795541957,0,0
0,1,0.307699568802491,2.71948990179226,0,0
0,1,0.274690109072253,4.58874955773354,0,0
0,0,0.894327640533447,0.723592726280913,0,0
0,1,0.995619255118072,2.29282708372921,1,0
0,1,0.127553182654083,2.95081443502568,0,1
1,1,0.963835929986089,3.15239105257206,0,1
1,1,0.687072596279904,2.8373199456837,0,1
1,1,0.895958527224138,3.53667198331095,0,1
1,1,0.728824143763632,4.34955808566883,0,1
0,0,0.763246470596641,4.75918017677031,0,0
1,0,0.296352142468095,2.67166400211863,0,0
1,1,0.84145525819622,0.992159423185512,1,1
0,0,0.211180875310674,2.29573284857906,0,0
0,1,0.786786828422919,2.86988303298131,0,0
0,1,0.462309275986627,3.18348646047525,0,0
0,0,0.904169348534197,2.53716694074683,1,0
0,1,0.547039726283401,2.68028335645795,0,0
0,1,0.585660880664364,0.204084272263572,0,0
1,0,0.416598803596571,3.21534757502377,0,0
1,0,0.0387496224138886,1.39999788952991,1,0
1,1,0.446741563500836,0.947563978843391,1,1
1,0,0.593878465471789,3.8941045710817,0,0
1,0,0.572045860812068,0.586715081008151,1,0
1,1,0.698092286009341,3.94974690047093,1,1
1,1,0.845750064821914,3.77542615169659,1,1
0,1,0.187965939519927,1.43201655359007,0,0
0,1,0.894812058890238,2.65339155681431,0,0
1,1,0.35177115816623,2.42999207694083,0,1
1,1,0.12738820258528,1.78563286201097,0,1
1,0,0.732969156699255,3.03337849094532,0,0
0,0,0.988053352572024,3.58089989516884,0,0
0,0,0.568367029074579,0.0648848060518503,1,0
1,0,0.00998059846460819,0.636726465309039,1,0
1,0,0.750502549577504,1.9446467270609,0,0
1,0,0.295045049395412,2.05863151000813,1,0
0,0,0.042732689762488,0.0348981085699052,1,0
0,0,0.113636446418241,1.44030427443795,1,1
0,0,0.0309702721424401,3.37317610974424,0,0
0,0,0.144202161347494,0.12126947985962,1,0
1,0,0.0100228569936007,2.81913136481307,0,0
0,1,0.767073784489185,1.45851447479799,1,0
0,0,0.485129093052819,2.88459157571197,0,0
0,1,0.272294566733763,4.34276926680468,0,1
0,0,0.713695904938504,0.831873430870473,0,0
1,0,0.145468569826335,2.47663563117385,0,0
1,0,0.0413924241438508,1.94931055186316,0,0
0,1,0.349828585982323,1.52639803127386,0,0
1,0,0.155828246846795,1.48619657265954,0,0
0,0,0.949516011634842,2.64172868686728,0,0
1,1,0.103660496184602,0.190749914618209,1,0
1,1,0.22344968165271,1.59439987502992,1,1
1,1,0.258106016553938,2.64608358149417,1,1
1,0,0.5806794334203,4.35392091749236,0,1
0,0,0.981920554768294,2.61205022106878,1,0
1,0,0.486748519586399,1.01184222730808,0,0
1,1,0.542445003520697,4.58584382897243,0,1
0,1,0.964830429293215,1.90904224407859,0,1
0,1,0.851129386108369,0.70782107533887,0,0
0,0,0.97263644495979,1.27576092607342,1,0
1,1,0.137474245624617,4.30282069602981,0,1
1,1,0.946287582395598,3.82038237759843,0,1
1,0,0.15677785105072,3.02685306407511,0,0
0,1,0.00106794736348093,3.38005389901809,0,1
1,1,0.314719143789262,2.93370532221161,0,1
0,1,0.442069214070216,2.20943899243139,0,0
0,0,0.178966452833265,4.00025685084984,0,0
0,1,0.7837704049889,3.31910103210248,0,0
1,1,0.573687671218067,4.96462210081518,0,1
1,0,0.169274665415287,1.11696879845113,1,0
1,0,0.57089084177278,4.90414064959623,0,0
0,0,0.100402265321463,0.550122136482969,0,0
0,1,0.309993807226419,4.70381709630601,0,0
0,1,0.313715453958139,3.69931511348113,0,0
0,1,0.495622719172388,0.327660816255957,1,0
1,0,0.434797635767609,3.05382400518283,0,1
1,1,0.0959766400046647,4.24332475406118,0,1
0,0,0.658510644454509,4.41443871124648,0,0
0,1,0.827330369735137,4.96993846609257,0,0
0,0,0.221726003102958,0.433162541594356,1,0
0,1,0.610635114833713,4.67367497039959,0,1
0,1,0.214336027158424,1.11237204750068,0,0
0,1,0.38516255794093,4.15607975330204,0,0
0,0,0.628252173075452,4.3392062431667,0,0
0,0,0.0909022931009531,1.00776931154542,1,0
0,1,0.239907059818506,4.39928405918181,0,1
0,1,0.759393495740369,0.429696456994861,0,0
0,0,0.456596091622487,4.62528328527696,0,0
1,0,0.701131616486236,3.03260504617356,0,0
1,0,0.929735148791224,2.60684801731259,0,0
1,0,0.688250267179683,3.69530008058064,0,1
1,0,0.365917808376253,3.45107014174573,0,0
0,0,0.883621814427897,4.12331014173105,0,0
1,0,0.970883117755875,2.44279730366543,0,0
1,0,0.777781343553215,0.217782142572105,1,0
0,1,0.467148880474269,1.09676769934595,1,0
0,0,0.0545971621759236,2.92631548596546,0,1
0,0,0.63389374082908,2.47000915231183,0,0
0,0,0.0976685951463878,2.92148058768362,0,1
0,1,0.0546239777468145,1.37983442400582,1,1
1,0,0.766884098062292,1.14525948301889,1,0
0,1,0.241315365070477,4.18713664403185,0,0
1,0,0.492278185673058,0.254511575913057,1,0
0,0,0.620466613676399,2.588144778274,0,1
0,0,0.740986861754209,4.46577247465029,0,0
0,1,0.761049832683057,3.59472807846032,0,0
1,0,0.622711721342057,1.79535037605092,0,1
0,1,0.297016315627843,3.55767209315673,0,0
0,0,0.653450339334086,2.20098243909888,0,0
0,1,0.152952388860285,2.57330448250286,0,0
1,0,0.583274721400812,0.600968475919217,1,0
0,0,0.90623667743057,2.67851870157756,0,0
1,0,0.75293190497905,1.23489327495918,0,0
1,1,0.348417607368901,0.169494478031993,1,1
1,0,0.0751009043306112,4.69808796304278,0,1
1,1,0.706706560915336,3.5121677594725,1,1
1,0,0.170244960812852,2.24755200440995,0,0
1,1,0.802103536901996,0.024639155017212,1,0
1,1,0.456715562613681,0.793242666404694,0,1
0,0,0.855792237911373,0.496217634063214,1,0
0,1,0.0787585543002933,3.75753565691411,0,1
0,1,0.836696320911869,3.81776629015803,0,0
1,0,0.561386854154989,3.88085145037621,0,0
0,0,0.781375496182591,2.24551344406791,1,1
0,0,0.693443241761997,2.96527293976396,0,0
1,0,0.336083791451529,4.43261766456999,0,0
0,0,0.855156394885853,4.1110394441057,0,0
0,1,0.443454421358183,0.361658569891006,1,1
1,0,0.132876076502725,1.60144451889209,0,0
1,1,0.0775131150148809,1.41956807347015,1,1
1,0,0.900354718323797,0.988245437620208,0,0
0,0,0.595554114552215,0.206356885610148,1,1
0,1,0.130872143199667,4.58752642385662,0,0
1,0,0.238530156435445,0.928042815066874,0,0
0,0,0.421058654785156,0.644040975021198,0,1
1,1,0.822486103279516,2.35592167708091,1,1
0,1,0.893671563593671,2.7933726052288,1,0
0,1,0.826192626729608,0.698243328370154,1,0
0,0,0.0412196067627519,4.27286995924078,0,1
1,1,0.764656939078122,2.47122662025504,1,1
0,0,0.818884450709447,0.604454184649512,1,0
0,1,0.861668327590451,4.90699947695248,0,0
1,1,0.664336272748187,0.535428470466286,1,0
1,1,0.0448909364640713,3.84400766110048,0,1
0,0,0.272138367174193,1.12428288906813,0,0
1,0,0.431309970561415,3.39260199456476,0,0
0,1,0.661271076882258,0.750440019182861,0,0
0,1,0.140820698579773,0.847659289138392,1,0
0,0,0.937323537888005,1.00466715637594,0,0
1,1,0.0762147714849561,2.10308241541497,1,1
1,1,0.397232856834307,1.67363536660559,1,1
1,1,0.474041174398735,4.13878935854882,0,1
1,1,0.462809351971373,0.0920445763040334,1,1
1,0,0.615439063403755,4.22664694371633,0,0
1,1,0.440330932382494,0.716034249635413,1,1
0,0,0.298913520760834,1.61129588959739,1,0
0,0,0.360610939562321,2.66323347343132,0,0
0,0,0.0155221624299884,4.09264373360202,0,1
0,1,0.174435497727245,1.11761198029853,0,1
1,0,0.710136358859017,0.257520951563492,1,0
0,0,0.325826676795259,4.48710077675059,0,0
1,1,0.249590112362057,4.13148975931108,1,1
0,0,0.671510496176779,1.69482592493296,0,0
0,0,0.79284900939092,1.59077057032846,0,0
0,1,0.0727316592819989,2.72169100237079,0,1
1,0,0.42597646615468,3.38627841090783,0,0
1,0,0.448522496735677,2.79348427895457,0,1
1,1,0.41136117419228,0.218648035079241,1,1
1,1,0.231499244226143,4.90485111484304,0,1
1,1,0.46965400245972,1.71390425297432,1,1
1,1,0.343095756601542,3.25620322721079,0,1
1,0,0.00853503402322531,1.78040053346194,0,0
0,1,0.7940445067361,4.49152215383947,0,0
1,1,0.396938681835309,3.35130997002125,0,1
0,1,0.829468295909464,2.35570141579956,1,0
0,0,0.789425737224519,1.79125808295794,0,0
0,1,0.169789192499593,0.149670811370015,1,0
1,1,0.883281846996397,2.05140217905864,1,1
1,0,0.684292004909366,0.647027986124158,0,0
1,0,0.674358918098733,0.0733187154401094,1,0
0,0,0.501117472071201,4.34146629879251,0,1
1,1,0.561554485233501,4.16358187561855,0,1
1,1,0.13283435604535,3.44695831066929,0,1
0,1,0.865447692573071,3.44771847943775,0,0
0,0,0.783146702218801,1.25767173827626,1,1
0,1,0.1486874318216,0.281824242556468,1,0
1,1,0.536009173141792,1.24815910821781,1,1
0,1,0.770396755076945,1.67139768716879,0,0
